"Date";"Status";"ScriptName";"Message"
"1/14/2025 2:58:04 PM";"Failed";"New-User.ps1";"Failed to create user in Active Directory"
"1/14/2025 2:58:25 PM";"Failed";"New-User.ps1";"Failed to create user in Active Directory"
"1/14/2025 2:58:36 PM";"Failed";"New-User.ps1";"Failed to create user in Active Directory"
"1/14/2025 2:58:51 PM";"Failed";"New-User.ps1";"Failed to create user in Active Directory"
"1/14/2025 2:59:05 PM";"Failed";"New-User.ps1";"Failed to create user in Active Directory"
"1/14/2025 2:59:16 PM";"Success";"New-User.ps1";"User adadad dfasd has been created successfully"
"1/14/2025 3:12:40 PM";"Failed";"New-User.ps1";"Failed to create user in Active Directory"
"1/14/2025 3:35:47 PM";"Success";"Disable-User.ps1";"User nnnn has been deactivated"
"3/23/2025 11:43:53 AM";"Failed";"Disable-User.ps1";"User Emrys has been deactivated"
"3/23/2025 11:45:22 AM";"Success";"New-User.ps1";"User christian ritter has been created successfully"
"3/23/2025 1:47:58 PM";"Success";"Disable-User.ps1";"User Ben Reader has been deactivated"
"3/24/2025 2:24:34 PM";"Failed";"New-Mailbox.ps1";"Failed to create mailbox for Ben"
"3/24/2025 2:56:59 PM";"Success";"New-Mailbox.ps1";"Mailbox for Steffen has been created successfully"
"3/24/2025 2:57:44 PM";"Success";"Disable-User.ps1";"User Ben  has been deactivated"
"3/24/2025 3:11:31 PM";"Failed";"New-User.ps1";"Failed to create user in Active Directory"
"3/24/2025 3:21:21 PM";"Failed";"New-User.ps1";"Failed to create user in Active Directory"
"3/24/2025 4:40:14 PM";"Failed";"New-OutOfOfficee.ps1";"Failed to create Out of Office Message for John"
"3/24/2025 4:46:49 PM";"Success";"Disable-User.ps1";"User ben has been deactivated"
"3/25/2025 9:07:02 AM";"Success";"Update-Kerberos.ps1";"Kerberos Ticket was successfully updated"
"3/25/2025 11:16:10 AM";"Success";"Disable-User.ps1";"User Christian has been deactivated"
"3/25/2025 11:29:50 AM";"Failed";"Update-Kerberos.ps1";"Failed to update Kerberos Ticket"
"3/25/2025 11:30:56 AM";"Failed";"New-User.ps1";"Failed to create user in Active Directory"
"3/25/2025 2:23:43 PM";"Failed";"New-User.ps1";"Failed to create user in Active Directory"
"3/25/2025 2:25:07 PM";"Failed";"New-Mailbox.ps1";"Failed to create mailbox for dadaw"
"3/25/2025 2:28:40 PM";"Failed";"New-User.ps1";"Failed to create user in Active Directory"
"3/25/2025 2:53:07 PM";"Failed";"New-Mailbox.ps1";"Failed to create mailbox for "
"3/25/2025 2:57:47 PM";"Failed";"New-Mailbox.ps1";"Failed to create mailbox for "
"3/25/2025 3:05:28 PM";"Success";"New-Mailbox.ps1";"Mailbox for  has been created successfully"
"3/25/2025 3:16:14 PM";"Success";"New-Mailbox.ps1";"Mailbox for  has been created successfully"
"3/25/2025 3:42:46 PM";"Success";"New-Mailbox.ps1";"Mailbox for  has been created successfully"
"3/25/2025 3:53:41 PM";"Failed";"New-Mailbox.ps1";"Failed to create mailbox for "
"3/25/2025 4:07:26 PM";"Failed";"New-Mailbox.ps1";"Failed to create mailbox for "
"3/26/2025 10:01:28 AM";"Failed";"New-Mailbox.ps1";"Failed to create mailbox for "
"3/28/2025 1:49:08 PM";"Failed";"New-Mailbox.ps1";"Failed to create mailbox for "
"3/31/2025 1:09:11 PM";"Success";"New-Mailbox.ps1";"Mailbox for  has been created successfully"
"3/31/2025 1:09:42 PM";"Failed";"New-OutOfOfficee.ps1";"Failed to create Out of Office Message for Jeffrey.Snover"
"3/31/2025 1:10:02 PM";"Success";"Disable-User.ps1";"User Jeffrey.Snover has been deactivated"
"3/31/2025 1:10:44 PM";"Failed";"New-SecurityGroup.ps1";"Failed to create SecurityGroup: PowerShell-Gods for Germany"
"3/31/2025 2:06:37 PM";"Failed";"New-Mailbox.ps1";"Failed to create mailbox for "
"4/2/2025 12:26:15 PM";"Failed";"New-Mailbox.ps1";"Failed to create mailbox for "
"4/2/2025 2:01:52 PM";"Failed";"New-Mailbox.ps1";"Failed to create mailbox for "
"4/2/2025 8:47:05 PM";"Success";"New-Mailbox.ps1";"Mailbox for  has been created successfully"
"4/2/2025 10:55:35 PM";"Failed";"New-Mailbox.ps1";"Failed to create mailbox for "
"4/10/2025 5:13:14 PM";"Failed";"New-Mailbox.ps1";"Failed to create mailbox for "
"4/10/2025 8:27:33 PM";"Failed";"New-Mailbox.ps1";"Failed to create mailbox for "
